id,source,channel,url,published,modified,section,keywords,authors,title,canonical_url,success,error_msg
0,guardian,rss,https://www.theguardian.com/science/2021/apr/02/spacewatch-another-failed-test-landing-spacex-starship,2021-04-02T05:00:00+00:00,2021-04-02T05:00:00+00:00,Science,"SpaceX,Space,US news,Elon Musk,Texas,World news",Stuart Clark,Spacewatch: another failed test landing for SpaceX Starship,http://www.theguardian.com/science/2021/apr/02/spacewatch-another-failed-test-landing-spacex-starship,True,
1,guardian,rss,https://www.theguardian.com/commentisfree/2021/apr/06/colleagues-leaving-nhs-government-betrayed,2021-04-06T09:00:01+00:00,2021-04-06T09:10:20+00:00,Opinion,"NHS,Health,Society,Coronavirus,Infectious diseases,Science,Public services policy,Politics,Conservatives",Samantha Batt-Rawden,I don't blame colleagues for leaving the NHS: the government has betrayed them | Samantha Batt-Rawden,http://www.theguardian.com/commentisfree/2021/apr/06/colleagues-leaving-nhs-government-betrayed,True,
2,guardian,rss,https://www.theguardian.com/world/2021/apr/28/antarctic-peninsula-named-in-recognition-of-aberdeen-geologists-work,2021-04-28T12:23:55+00:00,2021-04-28T12:44:26+00:00,World news,"Antarctica,Environment,Geology,Science,World news,Polar regions,Scotland,UK news",,Antarctic peninsula named in recognition of Aberdeen geologist’s work,http://www.theguardian.com/world/2021/apr/28/antarctic-peninsula-named-in-recognition-of-aberdeen-geologists-work,True,
3,guardian,rss,https://www.theguardian.com/commentisfree/2021/apr/25/elon-musk-jeff-bezos-space-moon-mars-workers-rights-unions,2021-04-25T05:00:07+00:00,2021-04-25T05:01:31+00:00,Opinion,"Jeff Bezos,Amazon,Elon Musk,Tesla,Technology,Internet,E-commerce,Space,Science,The moon,Mars,Nasa,US unions,US politics,US news,World news",Robert Reich,"In space, no one will hear Bezos and Musk’s workers call for basic rights | Robert Reich",http://www.theguardian.com/commentisfree/2021/apr/25/elon-musk-jeff-bezos-space-moon-mars-workers-rights-unions,True,
4,guardian,rss,https://www.theguardian.com/australia-news/2021/apr/03/queensland-reports-one-new-case-of-locally-acquired-coronavirus,2021-04-03T00:30:59+00:00,2021-04-03T01:05:24+00:00,Australia news,"Queensland,Coronavirus,Australia news,Infectious diseases,Science",Michael Mcgowan,Queensland reports one new case of locally acquired coronavirus,http://www.theguardian.com/australia-news/2021/apr/03/queensland-reports-one-new-case-of-locally-acquired-coronavirus,True,
5,guardian,rss,https://www.theguardian.com/australia-news/2021/mar/06/covid-fightback-the-critical-role-of-hiv-experts,2021-03-05T19:00:13+00:00,2021-03-06T01:06:12+00:00,Australia news,"Health,Coronavirus,Aids and HIV,Australia news,Medical research,Vaccines and immunisation,Health,Infectious diseases,Science",Melissa Davey,Covid fightback: the critical role of HIV experts,http://www.theguardian.com/australia-news/2021/mar/06/covid-fightback-the-critical-role-of-hiv-experts,True,
6,guardian,rss,https://www.theguardian.com/world/2021/apr/12/asthma-drug-budesonide-helps-older-people-cope-with-covid-at-home-study,2021-04-12T14:00:06+00:00,2021-04-13T04:09:35+00:00,World news,"Coronavirus,Asthma,Medical research,Science,Society,World news,UK news",Sarah Boseley,Asthma drug helps older people cope with Covid at home – study,http://www.theguardian.com/world/2021/apr/12/asthma-drug-budesonide-helps-older-people-cope-with-covid-at-home-study,True,
7,guardian,rss,https://www.theguardian.com/world/2021/apr/28/europe-pins-hopes-on-vaccine-campaigns-as-covid-curbs-relaxed,2021-04-28T15:08:18+00:00,2021-04-29T03:37:03+00:00,World news,"Coronavirus,Infectious diseases,Medical research,Science,World news,France,Emmanuel Macron,Germany,Angela Merkel,Poland,Netherlands,Italy,Vaccines and immunisation,Europe",Jon Henley,Europe pins hopes on vaccine campaigns as Covid curbs relaxed,http://www.theguardian.com/world/2021/apr/28/europe-pins-hopes-on-vaccine-campaigns-as-covid-curbs-relaxed,True,
8,guardian,rss,https://www.theguardian.com/lifeandstyle/2021/apr/06/what-are-thoughts-where-do-they-come-from-and-where-do-they-go,2021-04-06T11:00:04+00:00,2021-04-06T11:01:20+00:00,Life and style,"Life and style,Psychology,Neuroscience,Science",,What are thoughts? Where do they come from – and where do they go?,http://www.theguardian.com/lifeandstyle/2021/apr/06/what-are-thoughts-where-do-they-come-from-and-where-do-they-go,True,
9,guardian,rss,https://www.theguardian.com/science/audio/2021/apr/01/should-we-determine-species-through-dna-part-two-podcast,2021-04-01T04:00:02+00:00,2021-04-01T04:00:02+00:00,Science,"Environment,Science,Biodiversity,Zoology,Conservation,Biology,Wildlife","Patrick Greenfield, Phoebe Weston, Tiffany Cassidy",Should we determine species through DNA? (part two) – podcast,https://www.theguardian.com/science/audio/2021/apr/01/should-we-determine-species-through-dna-part-two-podcast,True,
10,healthday,rss,https://consumer.healthday.com/4-7-college-can-really-ramp-up-stress-for-kids-with-adhd-2651367952.html,2021-04-08T12:06:14+00:00,2021-04-08T12:06:14+00:00,Consumer News,"skills, sibley, adhd, social, college, ramp, resilience, stress, difficulties, support, students, really",Denise Mann,College Can Really Ramp Up Stress for People With ADHD,https://consumer.healthday.com/4-7-college-can-really-ramp-up-stress-for-kids-with-adhd-2651367952.html,True,
11,healthday,rss,https://consumer.healthday.com/3-23-feeling-rundown-it-could-raise-your-odds-for-severe-covid-2651132784.html,2021-03-23T12:09:36+00:00,2021-03-23T12:09:36+00:00,Consumer News,"rundown, burnout, covid19, feeling, sleep, workers, severe, covid, health, problems, care, raise, research, odds, study, risk",Robert Preidt,Feeling Rundown?  It Could Raise Your Odds for Severe COVID,https://consumer.healthday.com/3-23-feeling-rundown-it-could-raise-your-odds-for-severe-covid-2651132784.html,True,
12,healthday,rss,https://consumer.healthday.com/un-estudio-nuevo-hallo-que-las-sobrevivientes-de-cancer-de-mama-en-sobrepeso-tienen-mayor-riesgo-de-padecer-un-segundo-cancer-2652631311.html,2021-04-19T11:19:05+00:00,2021-04-19T11:19:05+00:00,HealthDay TV en Español,"riesgo, padecer, newsa, zhealthdayhealthday, sobrevivientes, worlds, health, medical, que, cáncer, topical, sobrepeso, mayor, segundo, nuevo, reviewing, latest, tienen, syndicator, feed",SpanishHealthDayTV,Un estudio nuevo halló que las sobrevivientes de cáncer de mama en sobrepeso tienen mayor riesgo de padecer un segundo cáncer,https://consumer.healthday.com/un-estudio-nuevo-hallo-que-las-sobrevivientes-de-cancer-de-mama-en-sobrepeso-tienen-mayor-riesgo-de-padecer-un-segundo-cancer-2652631311.html,True,
13,healthday,rss,https://consumer.healthday.com/global-covid-19-death-toll-surpasses-3-million-2652634908.html,2021-04-19T21:49:39+00:00,2021-04-19T21:49:39+00:00,Physician's Briefing,"million, death, covid19, university, world, toll, cases, according, pandemic, vaccination, surpasses, weekend, global, van",Physician’s Briefing Staff,Global COVID-19 Death Toll Surpasses 3 Million,https://consumer.healthday.com/global-covid-19-death-toll-surpasses-3-million-2652634908.html,True,
14,healthday,rss,https://consumer.healthday.com/fda-to-set-limits-on-toxic-elements-in-baby-food-2652574426.html,2021-04-14T21:27:57+00:00,2021-04-14T21:27:57+00:00,Physician's Briefing,"arsenic, lead, baby, toxic, fda, food, zero, limits, maximum, mercury, set, elements, levels",Physician’s Briefing Staff,FDA to Set Limits on Toxic Elements in Baby Food,https://consumer.healthday.com/fda-to-set-limits-on-toxic-elements-in-baby-food-2652574426.html,True,
15,healthday,rss,https://consumer.healthday.com/b-3-29-astronauts-will-need-tough-workouts-on-any-mission-to-mars-2651194010.html,2021-03-29T12:41:54+00:00,2021-03-29T13:53:56+00:00,Consumer News,"swim, workouts, heart, long, mars, days, astronauts, lecomtes, exercise, hearts, space, mission, gravity, study, need, tough",Robert Preidt,Astronauts Will Need Tough Workouts on Any Mission to Mars,https://consumer.healthday.com/b-3-29-astronauts-will-need-tough-workouts-on-any-mission-to-mars-2651194010.html,True,
16,healthday,rss,https://consumer.healthday.com/4-19-are-you-eating-foods-that-harm-your-microbiome-2652514255.html,2021-04-19T14:12:00+00:00,2021-04-19T14:12:00+00:00,Consumer News,"eating, university, foods, weersma, gut, microbiome, bacteria, professor, school, harm, study, diet",Amy Norton,Are You Eating Foods That Harm Your 'Microbiome'?,https://consumer.healthday.com/4-19-are-you-eating-foods-that-harm-your-microbiome-2652514255.html,True,
17,healthday,rss,https://consumer.healthday.com/3-19-breakfast-timing-could-affect-your-odds-for-diabetes-2651083624.html,2021-03-22T12:11:46+00:00,2021-03-22T12:11:46+00:00,Consumer News,"eating, varady, windows, feeding, benefits, earlier, breakfast, day, timerestricted, study, timing, odds, affect, diabetes",Denise Mann,Breakfast Timing Could Affect Your Odds for Diabetes,https://consumer.healthday.com/3-19-breakfast-timing-could-affect-your-odds-for-diabetes-2651083624.html,True,
18,healthday,rss,https://consumer.healthday.com/b-4-29-one-reason-its-hotter-in-poorer-neighborhoods-fewer-trees-2652780904.html,2021-04-29T12:17:01+00:00,2021-04-29T12:17:01+00:00,Consumer News,"fewer, cover, urban, reason, lowincome, hotter, researchers, highincome, trees, neighborhoods, poorer, study, tree, areas",Robert Preidt,One Reason It's Hotter in Poorer Neighborhoods: Fewer Trees,https://consumer.healthday.com/b-4-29-one-reason-its-hotter-in-poorer-neighborhoods-fewer-trees-2652780904.html,True,
